;cod_municipio;nome_municipio;regiao_administrativa;regiao_metropolitana;habitantes;PIB;nascidos_vivos
107;3509452;Campina do Monte Alegre;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;5832;R$ 137.149.077;24.0
108;3509502;Campinas;Região Administrativa de Campinas;Região Metropolitana de Campinas;1181555;R$ 65.419.716.816;4.366
109;3509601;Campo Limpo Paulista;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;83530;R$ 2.195.755.540;314.0
110;3509700;Campos do Jordão;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;50307;R$ 1.276.363.737;218.0
111;3509809;Campos Novos Paulista;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;4841;R$ 189.704.019;26.0
112;3509908;Cananéia;Região Administrativa de Registro;Outros municípios do Estado de São Paulo;12379;R$ 262.472.276;53.0
113;3509957;Canas;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;5120;R$ 112.954.843;28.0
114;3510005;Cândido Mota;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;30010;R$ 1.391.538.400;111.0
115;3510104;Cândido Rodrigues;Região Administrativa Central;Outros municípios do Estado de São Paulo;2672;R$ 110.266.045;8.0
116;3510153;Canitar;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;5051;R$ 157.316.779;31.0
117;3510203;Capão Bonito;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;46521;R$ 1.129.602.810;220.0
118;3510302;Capela do Alto;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;20828;R$ 339.377.683;101.0
119;3510401;Capivari;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;54686;R$ 2.400.351.215;222.0
120;3510500;Caraguatatuba;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;117090;R$ 3.889.990.988;497.0
121;3510609;Carapicuíba;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;396447;R$ 6.224.119.623;1.891
122;3510708;Cardoso;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;11712;R$ 299.674.576;27.0
123;3510807;Casa Branca;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;29549;R$ 1.053.662.373;86.0
124;3510906;Cássia dos Coqueiros;Região Administrativa de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;2486;R$ 254.623.337;2.0
125;3511003;Castilho;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;20937;R$ 1.167.425.861;72.0
126;3511102;Catanduva;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;117414;R$ 4.883.915.102;411.0
127;3511201;Catiguá;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;7555;R$ 134.143.732;21.0
128;3511300;Cedral;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;8895;R$ 389.261.161;47.0
129;3511409;Cerqueira César;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;19350;R$ 824.648.863;81.0
130;3511508;Cerquilho;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;46932;R$ 2.007.346.600;158.0
131;3511607;Cesário Lange;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;17360;R$ 513.238.411;93.0
132;3511706;Charqueada;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;17075;R$ 436.864.969;71.0
133;3511904;Clementina;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;8413;R$ 138.320.470;37.0
134;3512001;Colina;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;17606;R$ 1.232.165.501;81.0
135;3512100;Colômbia;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;6048;R$ 376.596.016;26.0
136;3512209;Conchal;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;27445;R$ 847.841.836;127.0
137;3512308;Conchas;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;17203;R$ 385.263.269;59.0
138;3512407;Cordeirópolis;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;24615;R$ 3.292.605.038;91.0
139;3512506;Coroados;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;5971;R$ 199.028.454;7.0
140;3512605;Coronel Macedo;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;4839;R$ 127.085.554;19.0
141;3512704;Corumbataí;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;3969;R$ 259.269.813;12.0
142;3512803;Cosmópolis;Região Administrativa de Campinas;Região Metropolitana de Campinas;72215;R$ 1.974.320.681;245.0
143;3512902;Cosmorama;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;6976;R$ 393.569.643;9.0
144;3513009;Cotia;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;251382;R$ 14.039.984.342;1.259
145;3513108;Cravinhos;Região Administrativa de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;34637;R$ 1.408.566.248;126.0
146;3513207;Cristais Paulista;Região Administrativa de Franca;Outros municípios do Estado de São Paulo;8494;R$ 279.639.301;43.0
147;3513306;Cruzália;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;2105;R$ 117.792.841;7.0
