;cod_municipio;nome_municipio;regiao_administrativa;regiao_metropolitana;habitantes;PIB;nascidos_vivos
31;3502804;Araçatuba;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;6168;R$ 8.304.184.164;97.0
32;3502903;Araçoiaba da Serra;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;2469;R$ 976.126.384;706.0
33;3503000;Aramina;Região Administrativa de Franca;Outros municípios do Estado de São Paulo;228792;R$ 155.702.321;129.0
34;3503109;Arandu;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;131931;R$ 182.645.594;19.0
35;3503158;Arapeí;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;21289;R$ 39.882.786;30.0
36;3503208;Araraquara;Região Administrativa Central;Outros municípios do Estado de São Paulo;190921;R$ 10.680.812.997;5.0
37;3503307;Araras;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;32846;R$ 6.474.427.590;930.0
38;3503356;Arco-Íris;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;1806;R$ 84.062.627;498.0
39;3503406;Arealva;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;8223;R$ 244.287.968;5.0
40;3503505;Areias;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;3860;R$ 56.804.272;32.0
41;3503604;Areiópolis;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;10900;R$ 147.089.286;24.0
42;3503703;Ariranha;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;9378;R$ 968.334.144;32.0
43;3503802;Artur Nogueira;Região Administrativa de Campinas;Região Metropolitana de Campinas;53224;R$ 1.477.690.002;28.0
44;3503901;Arujá;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;90958;R$ 7.633.056.192;212.0
45;3503950;Aspásia;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;1760;R$ 40.018.733;431.0
46;3504008;Assis;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;101825;R$ 3.734.329.858;7.0
47;3504107;Atibaia;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;140589;R$ 7.412.329.939;341.0
48;3504206;Auriflama;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;14478;R$ 325.250.452;677.0
49;3504305;Avaí;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;5314;R$ 395.872.958;49.0
50;3504404;Avanhandava;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;12188;R$ 491.139.121;26.0
51;3504503;Avaré;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;87854;R$ 2.818.750.893;44.0
52;3504602;Bady Bassitt;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;16441;R$ 466.219.023;401.0
53;3504701;Balbinos;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;3707;R$ 61.962.408;107.0
54;3504800;Bálsamo;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;8542;R$ 246.986.061;4.0
55;3504909;Bananal;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;10691;R$ 203.899.739;19.0
56;3505005;Barão de Antonina;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;3407;R$ 69.024.444;17.0
57;3505104;Barbosa;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;7345;R$ 119.432.090;9.0
58;3505203;Bariri;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;34180;R$ 1.369.293.843;17.0
59;3505302;Barra Bonita;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;34864;R$ 1.374.943.656;132.0
60;3505351;Barra do Chapéu;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;5561;R$ 143.899.512;133.0
61;3505401;Barra do Turvo;Região Administrativa de Registro;Outros municípios do Estado de São Paulo;7709;R$ 109.166.141;27.0
62;3505500;Barretos;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;118419;R$ 4.989.612.998;27.0
63;3505609;Barrinha;Região Administrativa de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;32658;R$ 553.730.471;510.0
64;3505708;Barueri;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;266236;R$ 51.254.571.962;144.0
65;3505807;Bastos;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;20296;R$ 978.295.698;1.733
66;3505906;Batatais;Região Administrativa de Franca;Região Metropolitana de Ribeirão Preto;60502;R$ 2.085.830.301;94.0
67;3506003;Bauru;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;365523;R$ 15.180.212.056;238.0
68;3506102;Bebedouro;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;73969;R$ 3.218.916.367;1.486
69;3506201;Bento de Abreu;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;2966;R$ 208.534.641;287.0
70;3506300;Bernardino de Campos;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;10793;R$ 301.522.163;10.0
71;3506359;Bertioga;Região Administrativa de Santos;Região Metropolitana da Baixada Santista;64526;R$ 1.905.000.150;29.0
72;3506409;Bilac;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;7855;R$ 267.898.583;333.0
73;3506508;Birigui;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;122161;R$ 3.669.342.865;15.0
74;3506607;Biritiba-Mirim;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;32683;R$ 995.303.880;432.0
75;3506706;Boa Esperança do Sul;Região Administrativa Central;Outros municípios do Estado de São Paulo;14658;R$ 362.180.102;112.0
76;3506805;Bocaina;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;12243;R$ 236.357.656;67.0
77;3506904;Bofete;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;11194;R$ 204.906.014;43.0
78;3507001;Boituva;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;57987;R$ 2.985.664.148;44.0
79;3507100;Bom Jesus dos Perdões;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;24625;R$ 1.089.688.388;256.0
80;3507159;Bom Sucesso de Itararé;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;3894;R$ 65.301.329;95.0
81;3507209;Borá;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;811;R$ 68.381.873;23.0
82;3507308;Boracéia;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;4798;R$ 448.990.318;1.0
83;3507407;Borborema;Região Administrativa Central;Outros municípios do Estado de São Paulo;15370;R$ 467.279.720;27.0
84;3507456;Borebi;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;2602;R$ 68.326.906;30.0
85;3507506;Botucatu;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;142092;R$ 5.089.448.838;13.0
86;3507605;Bragança Paulista;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;165241;R$ 6.791.315.052;570.0
87;3507704;Braúna;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;5593;R$ 115.759.805;672.0
88;3507753;Brejo Alegre;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;2780;R$ 60.572.946;28.0
89;3507803;Brodowski;Região Administrativa de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;24132;R$ 805.025.937;7.0
90;3507902;Brotas;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;24039;R$ 1.019.895.410;106.0
91;3508009;Buri;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;19819;R$ 666.565.575;117.0
92;3508108;Buritama;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;16673;R$ 712.089.369;92.0
93;3508207;Buritizal;Região Administrativa de Franca;Outros municípios do Estado de São Paulo;4323;R$ 233.930.240;59.0
94;3508306;Cabrália Paulista;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;4306;R$ 81.929.480;13.0
95;3508405;Cabreúva;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;50112;R$ 5.258.401.575;14.0
